Order ID,Error
581691977,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581691977 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040553a0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581691706,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581691706 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040570b0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581691641,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581691641 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040e4890>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581691634,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581691634 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104055dc0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581691255,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581691255 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104057290>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581691062,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581691062 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b08c0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581690928,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581690928 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104080740>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581673660,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581673660 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b6d80>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581667576,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581667576 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b6690>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581666787,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581666787 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040e4890>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581660136,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581660136 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104057aa0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581659934,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581659934 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104055d30>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581659378,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581659378 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b0590>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581655602,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581655602 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x104080620>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581649563,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581649563 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b4950>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581648591,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581648591 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b52b0>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
581647616,"HTTPSConnectionPool(host='api.tiny.com.br', port=443): Max retries exceeded with url: /public-api/v3/ordem-servico/581647616 (Caused by NewConnectionError(""<urllib3.connection.HTTPSConnection object at 0x1040b0260>: Failed to establish a new connection: [Errno 49] Can't assign requested address""))"
